epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.4067,1.96244,6.95246,0.03846,0.00333,1,0.29701,0.07277,2.52382,10.1529,0.0787,4e-05,4e-05,4e-05
2,35.8456,1.50975,6.22868,0.02487,0.00333,1,0.19344,0.05032,2.10782,9.70475,0.06267,9.802e-05,9.802e-05,9.802e-05
3,52.4048,0.97579,6.16757,0.01731,0.00333,1,0.2242,0.06421,2.29515,9.75947,0.07774,0.000153664,0.000153664,0.000153664
4,68.9141,0.86317,5.61367,0.01437,0.00333,1,0.26954,0.08288,1.94869,9.25374,0.06272,0.000206932,0.000206932,0.000206932
5,84.9492,0.68436,4.93517,0.00979,0.00333,1,0.36823,0.13066,1.54397,8.74459,0.04753,0.000257824,0.000257824,0.000257824
6,100.33,0.82402,4.81005,0.01142,0.00333,1,0.50916,0.17599,1.55502,8.73689,0.04605,0.00030634,0.00030634,0.00030634
7,116.396,0.78377,5.01087,0.01091,0.00333,1,0.53535,0.26966,1.50915,8.61929,0.04346,0.00035248,0.00035248,0.00035248
8,132.131,0.69358,4.61794,0.0102,0.00333,1,0.38954,0.23596,1.31809,8.39331,0.03665,0.000396244,0.000396244,0.000396244
9,147.165,0.70608,4.06414,0.00981,0.00333,1,0.55294,0.39617,0.8417,7.8281,0.02137,0.000437632,0.000437632,0.000437632
10,162.227,0.81837,4.43909,0.01224,0.00333,1,0.57256,0.39461,0.93333,7.87641,0.02374,0.000476644,0.000476644,0.000476644
11,176.701,0.74011,4.06237,0.01029,0.00333,1,0.60343,0.35229,1.23893,8.16408,0.03401,0.00051328,0.00051328,0.00051328
12,191.523,0.66177,3.84916,0.00918,0.00333,1,0.57809,0.30879,1.31395,8.21839,0.03706,0.00054754,0.00054754,0.00054754
13,206.141,0.70688,3.59305,0.00907,0.00333,1,0.66333,0.37334,1.31992,8.08831,0.03763,0.000579424,0.000579424,0.000579424
14,221.393,0.67968,3.2632,0.00872,0.00333,1,0.68986,0.33475,1.53146,8.30432,0.04476,0.000608932,0.000608932,0.000608932
15,236.859,0.74649,3.44518,0.01015,0.00333,1,0.66653,0.21055,1.88516,8.69729,0.05829,0.000636064,0.000636064,0.000636064
16,251.657,0.77319,3.51726,0.01108,0.00333,1,0.68045,0.26563,1.62195,8.32679,0.04871,0.00066082,0.00066082,0.00066082
17,267.029,0.83373,3.44431,0.01178,0.00333,1,0.77375,0.47336,1.08495,7.64009,0.02859,0.0006832,0.0006832,0.0006832
18,282.602,0.68274,2.96055,0.00962,0.00333,1,0.77724,0.51053,0.88467,7.3708,0.02232,0.000703204,0.000703204,0.000703204
19,297.807,0.82719,3.25214,0.01242,0.00333,1,0.70263,0.48134,0.7867,7.19684,0.02007,0.000720832,0.000720832,0.000720832
20,313.221,0.73689,3.04624,0.00939,0.00333,1,0.80056,0.49687,0.96477,7.38832,0.02579,0.000736084,0.000736084,0.000736084
21,331.122,0.69542,2.82298,0.0098,0.00333,1,0.81773,0.45997,1.01091,7.32758,0.02663,0.00074896,0.00074896,0.00074896
22,351.923,0.7409,3.11656,0.01125,0.00333,1,0.74627,0.50512,0.94165,7.01956,0.02406,0.00075946,0.00075946,0.00075946
23,373.282,0.66604,3.1055,0.00972,0.00366,1,0.95643,0.78051,0.76335,6.62272,0.01882,0.000767584,0.000767584,0.000767584
24,394.034,0.67683,3.0453,0.00878,0.04894,1,0.97192,0.79029,0.70722,6.52067,0.01771,0.000773332,0.000773332,0.000773332
25,411.79,0.6163,2.69453,0.00925,1,0.93651,0.995,0.82115,0.82063,6.15875,0.02114,0.000776704,0.000776704,0.000776704
26,430.162,0.63814,2.89505,0.00909,0.98164,1,0.995,0.84056,0.75339,5.67695,0.01903,0.0007777,0.0007777,0.0007777
27,449.713,0.68037,2.46867,0.00927,0.86421,1,0.97682,0.8367,0.70143,5.32186,0.01728,0.00077632,0.00077632,0.00077632
28,467.812,0.70764,3.1971,0.01064,0.69407,0.90802,0.91188,0.75066,0.76249,5.36331,0.01864,0.000772564,0.000772564,0.000772564
29,485.709,0.62731,2.62637,0.009,0.69407,0.90802,0.91188,0.75066,0.76249,5.36331,0.01864,0.000766432,0.000766432,0.000766432
30,503.781,0.73709,2.59055,0.00986,1,0.95246,0.995,0.74906,1.00799,5.37324,0.02536,0.000757924,0.000757924,0.000757924
31,520.597,0.65668,2.59225,0.00981,0.82467,0.94283,0.97833,0.72003,1.06518,5.26721,0.02716,0.00074704,0.00074704,0.00074704
32,539.977,0.64599,2.51468,0.00958,1,0.8762,0.995,0.79868,0.95962,5.00272,0.02421,0.00073378,0.00073378,0.00073378
33,559.716,0.73302,2.34594,0.01008,1,0.8762,0.995,0.79868,0.95962,5.00272,0.02421,0.000718144,0.000718144,0.000718144
34,581.796,0.60363,2.67759,0.00947,1,0.89885,0.95382,0.81042,0.6743,4.63554,0.01614,0.0006932,0.0006932,0.0006932
35,601.898,0.72607,2.42273,0.0094,1,0.89768,0.98591,0.85278,0.60255,4.44921,0.01424,0.0006536,0.0006536,0.0006536
36,619.294,0.71759,2.37026,0.01002,0.9412,0.9,0.98591,0.85291,0.64852,4.39293,0.01545,0.000614,0.000614,0.000614
37,636.136,0.67301,2.44405,0.00977,0.9412,0.9,0.98591,0.85291,0.64852,4.39293,0.01545,0.0005744,0.0005744,0.0005744
38,654.09,0.63147,2.35991,0.00855,0.93325,0.9,0.97833,0.78775,0.73191,4.40246,0.01804,0.0005348,0.0005348,0.0005348
39,671.188,0.64055,2.47658,0.0094,0.90294,0.93239,0.98591,0.81753,0.7348,4.3148,0.01815,0.0004952,0.0004952,0.0004952
40,688.923,0.6503,2.29501,0.00913,1,0.9996,0.995,0.82062,0.70978,4.16616,0.01735,0.0004556,0.0004556,0.0004556
41,707.046,0.63804,4.96838,0.01189,1,0.9996,0.995,0.82062,0.70978,4.16616,0.01735,0.000416,0.000416,0.000416
42,724.404,0.72358,5.04526,0.01603,0.9039,0.94293,0.98591,0.82386,0.72471,4.08565,0.01779,0.0003764,0.0003764,0.0003764
43,742.345,0.59428,4.83384,0.01287,0.90816,0.9,0.98591,0.80512,0.80479,4.07808,0.02026,0.0003368,0.0003368,0.0003368
44,760.192,0.64439,4.89777,0.01297,0.90279,0.93068,0.98591,0.79656,0.83051,4.07715,0.02126,0.0002972,0.0002972,0.0002972
45,778.184,0.6009,4.67523,0.01223,0.90279,0.93068,0.98591,0.79656,0.83051,4.07715,0.02126,0.0002576,0.0002576,0.0002576
46,802.873,0.61036,4.74852,0.01146,0.90815,0.98964,0.98591,0.79226,0.80276,4.04906,0.02049,0.000218,0.000218,0.000218
47,822.51,0.63117,4.78003,0.01076,0.90324,0.8,0.97682,0.79938,0.73488,3.99863,0.01853,0.0001784,0.0001784,0.0001784
48,844.417,0.5309,4.60728,0.0115,0.91365,0.9,0.98591,0.84234,0.67456,3.90136,0.01668,0.0001388,0.0001388,0.0001388
49,862.336,0.5342,4.55324,0.01146,0.91365,0.9,0.98591,0.84234,0.67456,3.90136,0.01668,9.92e-05,9.92e-05,9.92e-05
50,879.092,0.53718,4.56107,0.01065,0.99006,1,0.995,0.86095,0.63977,3.80817,0.01563,5.96e-05,5.96e-05,5.96e-05
